spkid,full_name,pdes,name,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms
20523598,523598 (2003 ED50),523598,,,Y,Y,0,20.86,,,,,,,,,,,,,,,,,,,29,2460200.5,60200,2023-09-13.0,J2000,0.5466,1.416,0.642,33.73,173.51,93.97,24.92,2.19,0.5849,2460157.9,2023-08-01.4,615,1.69,0.025,9.73,3.46,4.4,1.10E-07,7.70E-09,1.50E-07,3.20E-05,5.80E-06,1.70E-05,4.40E-05,1.20E-08,4.80E-09,7.50E-05,5.00E-06,APO,Otto Matic,5666,11-03-2003,14-09-2018,145,,,0,0.48515
20523606,523606 (2005 CJ),523606,,,Y,Y,0,20.34,,,,,,,,,,,,,,,,,,,55,2460200.5,60200,2023-09-13.0,J2000,0.5255,1.749,0.83,1.08,357.85,81.94,33,2.67,0.426,2460123.03,2023-06-27.5,845,2.31,0.0073,2.84,2.62,3.96,1.90E-08,3.60E-09,3.40E-08,5.80E-06,1.20E-04,1.20E-04,9.50E-06,5.50E-09,1.30E-09,2.20E-05,2.60E-06,APO,Otto Matic,5339,19-08-2004,02-04-2019,360,,,0,0.46613
20523609,523609 (2005 PJ2),523609,,,Y,Y,0,19.53,,,,,,,,,,1.42,,,,,,,,,40,2460200.5,60200,2023-09-13.0,J2000,0.6593,1.198,0.408,17.42,326.44,128.87,228.92,1.99,0.7516,2460374.91,2024-03-05.4,479,1.31,0.0444,17.3,3.29,5.03,1.80E-07,2.90E-09,2.10E-07,1.70E-05,1.20E-05,2.30E-05,1.70E-05,4.90E-09,2.80E-09,2.30E-05,1.80E-06,APO,Otto Matic,6231,27-07-2005,18-08-2022,194,,,0,0.43409
20523623,523623 (2008 CB22),523623,,,Y,Y,0,19.72,,,,,,,,,,,,,,,,,,,38,2460200.5,60200,2023-09-13.0,J2000,0.6531,2.365,0.821,7.27,51.18,33.4,119.31,3.91,0.2709,2459760.08,2022-06-29.5,1.33E+03,3.64,0.0464,18.1,1.41,3.21,9.10E-08,1.60E-08,2.20E-07,1.30E-05,8.80E-05,9.10E-05,1.60E-05,2.60E-08,2.80E-09,5.60E-05,1.40E-05,APO,Otto Matic,4093,08-02-2008,24-04-2019,163,,,0,0.50863
20523630,523630 (2009 OG),523630,,,Y,Y,0,16.1,,,,,,,,,,,,,,,,,,,65,2460200.5,60200,2023-09-13.0,J2000,0.8586,2.705,0.383,48.39,309.39,114.16,49.18,5.03,0.2215,2459978.48,2023-02-02.9,1.63E+03,4.45,0.0422,16.4,2.87,2.41,4.20E-08,1.00E-08,1.10E-07,3.80E-05,1.10E-05,1.40E-05,4.80E-06,1.90E-08,1.20E-09,2.10E-05,9.00E-06,APO,Otto Matic,5013,17-07-2009,08-04-2023,309,,,0,0.33893
20523650,523650 (2011 GQ61),523650,,,Y,Y,0,18.59,,,,,,,,,,,,,,,,,,,30,2460200.5,60200,2023-09-13.0,J2000,0.4121,1.59,0.935,65.15,333.52,155.1,82.58,2.25,0.4915,2460032.49,2023-03-28.9,732,2.01,0.0296,11.5,2.86,3.7,2.40E-07,1.80E-08,3.90E-07,9.70E-05,2.50E-05,3.20E-05,4.50E-05,2.50E-08,8.40E-09,9.00E-05,1.20E-05,APO,Otto Matic,4181,04-04-2011,14-09-2022,86,,,0,0.57515
20523654,523654 (2011 SR5),523654,,,Y,Y,0,20.95,,,,,,,,,,10.07,,,,,,,,,26,2460200.5,60200,2023-09-13.0,J2000,0.7056,1.178,0.347,29.13,180.11,305.55,88.63,2.01,0.7707,2460085.5,2023-05-20.9,467,1.28,0.000212,0.0826,3.3,5.01,1.20E-07,5.30E-09,1.50E-07,3.00E-05,4.90E-06,1.40E-05,2.10E-05,9.10E-09,5.20E-09,2.60E-05,3.20E-06,APO,Otto Matic,3275,19-09-2011,06-09-2020,228,,,0,0.38298
20523656,523656 (2011 WO4),523656,,,Y,Y,0,19.29,,,,,,,,,,,,,,,,,,,30,2460200.5,60200,2023-09-13.0,J2000,0.4975,1.738,0.873,60.94,225.18,235.99,34.57,2.6,0.4303,2460120.16,2023-06-24.6,837,2.29,0.0296,11.5,3.35,3.48,7.10E-08,1.50E-08,1.20E-07,2.20E-05,7.70E-06,1.40E-05,2.30E-05,2.30E-08,5.70E-09,5.30E-05,1.10E-05,APO,Otto Matic,2732,17-11-2011,11-05-2019,115,,,0,0.2978
20523662,523662 (2012 MU2),523662,,,Y,Y,0,20.77,,,,,,,,,,,,,,,,,,,60,2460200.5,60200,2023-09-13.0,J2000,0.5138,2.055,0.999,11.22,250.3,16.6,290.22,3.11,0.3346,2460409.06,2024-04-08.5,1.08E+03,2.95,0.00128,0.498,2,3.59,2.10E-08,2.00E-08,4.90E-08,7.50E-06,2.60E-05,3.10E-05,2.60E-05,3.00E-08,4.90E-09,8.00E-05,1.60E-05,APO,Otto Matic,2277,18-06-2012,12-09-2018,216,0,1,0,0.34749
20523664,523664 (2012 OD1),523664,,,Y,Y,0,18.59,,,,,,,0.346,,0.536,12.63,,,,,,,,0.09,133,2460200.5,60200,2023-09-13.0,J2000,0.5027,0.8287,0.412,42.27,303.73,224.37,28.57,1.25,1.306,2460178.63,2023-08-22.1,276,0.754,0.0384,14.9,3.91,6.79,2.50E-07,5.00E-09,2.10E-07,2.50E-05,7.40E-06,6.90E-06,4.20E-05,7.50E-09,1.20E-08,3.20E-05,2.50E-06,ATE,Otto Matic,3340,19-07-2012,10-09-2021,1101,,,0,0.26356
20523685,523685 (2014 DN112),523685,,,Y,Y,0,20.04,,,,,,,,,,,,,,,,,,,JPL 34,2460200.5,60200,2023-09-13.0,J2000,0.4941,1.848,0.935,4.3,260.2,145.89,346.89,2.76,0.3922,2460233.93,2023-10-16.4,918,2.51,0.00219,0.852,2.66,3.85,8.50E-08,1.80E-08,1.60E-07,5.20E-06,1.50E-04,1.60E-04,1.20E-05,2.80E-08,5.90E-09,3.10E-05,1.40E-05,APO,Otto Matic,3436,28-02-2014,27-07-2023,114,,,0,0.4317
20523732,523732 (2014 PG51),523732,,,Y,Y,0,20.66,,,,,,,,,,,,,,,,,,,47,2460200.5,60200,2023-09-13.0,J2000,0.453,1.206,0.66,3.79,275.76,294.12,14.02,1.75,0.7444,2460181.66,2023-08-25.1,484,1.32,0.0228,8.89,3.22,5.17,6.10E-08,3.50E-09,7.40E-08,3.30E-06,9.00E-05,8.40E-05,4.40E-05,5.10E-09,3.20E-09,6.00E-05,2.10E-06,APO,Otto Matic,4416,15-09-2010,18-10-2022,205,,,0,0.461
20523775,523775 (2014 YB35),523775,,,Y,Y,1,19.11,,,,,,,0.279,,0.569,3.277,,,,,,,,0.01,81,2460200.5,60200,2023-09-13.0,J2000,0.484,1.876,0.968,12.65,3.73,188.63,103.29,2.78,0.3836,2459931.22,2022-12-17.7,939,2.57,0.0256,9.97,2.18,3.8,1.90E-08,2.60E-08,3.20E-08,4.20E-06,8.00E-06,1.30E-05,2.50E-05,3.80E-08,7.90E-09,6.10E-05,1.90E-05,APO,Otto Matic,1965,27-12-2014,14-05-2020,741,1,2,0,0.23506
20523788,523788 (2015 FP118),523788,,,Y,Y,0,19.48,,,,,,,,,,3.0917,,,,,,,,,102,2460200.5,60200,2023-09-13.0,J2000,0.5499,2.12,0.954,2.68,201.34,108.17,233.84,3.29,0.3192,2460595.74,2024-10-12.2,1.13E+03,3.09,0.0299,11.6,2.02,3.52,6.80E-09,1.20E-08,1.40E-08,1.80E-06,3.30E-05,3.30E-05,5.10E-06,1.80E-08,2.70E-09,1.90E-05,9.40E-06,APO,Otto Matic,2417,21-03-2015,01-11-2021,728,4,0,0,0.35597
20523804,523804 (2000 YF29),523804,,,Y,Y,0,20.31,,,,,,,,,,,,,,,S,,,,99,2460200.5,60200,2023-09-13.0,J2000,0.3715,1.492,0.938,6.3,124.75,28.11,139.59,2.05,0.5408,2459942.37,2022-12-28.8,666,1.82,0.0102,3.97,2.96,4.48,1.20E-08,6.40E-10,1.80E-08,2.50E-06,2.10E-05,2.00E-05,4.50E-06,8.80E-10,3.50E-10,8.10E-06,4.30E-07,APO,Otto Matic,7527,25-11-2000,05-07-2021,492,2,2,0,0.40558
20523808,523808 (2007 ML24),523808,,,Y,Y,0,19.34,,,,,,,,,,,,,,,,,,,19,2460200.5,60200,2023-09-13.0,J2000,0.3585,0.7587,0.487,33.44,281.87,201.48,50.57,1.03,1.492,2460166.59,2023-08-10.0,241,0.661,0.0236,9.17,4.1,7.45,4.60E-07,1.20E-08,3.40E-07,4.40E-05,6.60E-05,9.90E-05,2.20E-04,1.60E-08,3.50E-08,1.50E-04,5.60E-06,ATE,Otto Matic,5515,21-06-2007,27-07-2022,46,,,1,0.49539
20523813,523813 (2008 VB1),523813,,,Y,Y,0,20.65,,,,,,,,,,,,,,,,,,,46,2460200.5,60200,2023-09-13.0,J2000,0.2753,1.278,0.926,10.32,50.35,137,351.12,1.63,0.6822,2460213.51,2023-09-26.0,528,1.44,0.0214,8.33,3.33,5.01,9.80E-08,3.00E-09,1.20E-07,1.10E-05,2.10E-05,3.70E-05,4.00E-05,3.80E-09,2.40E-09,5.80E-05,1.90E-06,APO,Otto Matic,5971,26-09-2005,31-01-2022,142,,,0,0.54428
20523814,523814 (2008 WN2),523814,,,Y,Y,0,20.81,,,,,,,,,,,,,,,,,,,63,2460200.5,60200,2023-09-13.0,J2000,0.3119,1.418,0.976,3.75,227.09,283.39,222.5,1.86,0.5837,2460436.05,2024-05-05.5,617,1.69,0.0482,18.7,3.15,4.66,2.30E-08,9.80E-09,3.30E-08,6.00E-06,4.30E-05,4.70E-05,3.80E-05,1.30E-08,6.10E-09,6.80E-05,6.40E-06,APO,Otto Matic,3618,24-10-2008,20-09-2018,260,,,0,0.50918
20523816,523816 (2009 ST103),523816,,,Y,Y,0,18.14,,,,,,,0.851,,0.141,,,,,,,,,0.01,43,2460200.5,60200,2023-09-13.0,J2000,0.7182,2.7,0.761,15.74,226.45,234.65,37.5,4.64,0.2221,2460031.69,2023-03-28.1,1.62E+03,4.44,0.0371,14.4,1.19,2.89,5.50E-08,3.60E-08,1.50E-07,1.20E-05,4.60E-05,4.80E-05,1.70E-05,6.20E-08,4.50E-09,7.50E-05,3.30E-05,APO,Otto Matic,8057,27-09-2000,19-10-2022,153,,,0,0.43229
